from_loc,to_loc,amount,country,from_pop,from_x,from_y,to_pop,to_x,to_y,euc_dist,predict_ipums,predict_ipums_country,predict_civ,predict_kenya,predict_sen
21,32,13,SLE,550436.786,-12.1657,9.31141,191754.4736,-12.2756004,7.5009198,1.813822721,77.24255949,10.35718892,484.6201429,8802.907613,930.7624571
21,33,41,SLE,550436.786,-12.1657,9.31141,352832.0699,-12.4265003,8.05931,1.278972715,211.4107169,72.13002028,1329.877498,37827.61211,2299.085561
21,34,14,SLE,550436.786,-12.1657,9.31141,316360.3377,-11.5670996,7.29498,2.10340495,116.7162859,40.78929298,572.2516631,11963.24484,902.410347
21,41,662,SLE,550436.786,-12.1657,9.31141,540326.047,-13.0862999,8.3221998,1.351310843,321.4386164,240.2491956,1707.160331,56804.60055,2540.939399
21,42,2474,SLE,550436.786,-12.1657,9.31141,775375.9439,-13.2444,8.4532099,1.378441548,470.2905423,675.2323258,2197.297829,84684.00621,2900.422984
22,11,4,SLE,362084.2954,-12.8070002,9.18221,472521.038,-10.6969995,8.0851002,2.378182682,100.7022377,60.6494271,452.6971141,9110.572367,718.5866691
22,12,201,SLE,362084.2954,-12.8070002,9.18221,690510.5587,-11.2013998,7.9244599,2.039580339,177.3053071,196.3390695,769.7771358,19805.17811,1126.052869
22,13,39,SLE,362084.2954,-12.8070002,9.18221,538271.4597,-10.9485998,8.6857595,1.923568337,142.3270135,98.51321984,692.5461419,16483.89748,1113.176136
22,21,90,SLE,362084.2954,-12.8070002,9.18221,550436.786,-12.1657,9.31141,0.654185437,407.11789,182.5709484,3644.116915,154033.1436,7653.987946
22,23,3,SLE,362084.2954,-12.8070002,9.18221,358521.7854,-11.3449001,9.45222,1.486822821,116.0166791,34.74149311,745.9398929,17021.1466,1457.133144
22,24,414,SLE,362084.2954,-12.8070002,9.18221,612546.8019,-12.7334995,8.7240896,0.463979152,635.3932272,296.4850762,6686.827993,354458.1483,14815.67737
22,25,12,SLE,362084.2954,-12.8070002,9.18221,472176.2751,-11.8753004,8.6617603,1.067207762,215.6818383,91.22962011,1533.484431,46928.26576,2985.812568
22,31,37,SLE,362084.2954,-12.8070002,9.18221,641236.4017,-11.7143002,7.95329,1.644456645,200.5146325,177.0121574,1008.467324,28120.45297,1595.536919
22,32,4,SLE,362084.2954,-12.8070002,9.18221,191754.4736,-12.2756004,7.5009198,1.763270394,49.37127367,5.220125963,352.5173574,5601.758446,804.7488762
22,33,24,SLE,362084.2954,-12.8070002,9.18221,352832.0699,-12.4265003,8.05931,1.185615698,141.3791528,37.25002497,1040.003413,26531.13281,2163.100475
22,34,6,SLE,362084.2954,-12.8070002,9.18221,316360.3377,-11.5670996,7.29498,2.258094456,67.88022814,19.53953573,357.8633104,6213.560905,654.0384436
22,41,196,SLE,362084.2954,-12.8070002,9.18221,540326.047,-13.0862999,8.3221998,0.904226668,293.125798,146.6129142,2193.530425,77638.1425,4267.837546
22,42,1097,SLE,362084.2954,-12.8070002,9.18221,775375.9439,-13.2444,8.4532099,0.850152769,463.4669721,429.6357122,3196.725127,136765.5939,5631.697267
23,11,7,SLE,358521.7854,-11.3449001,9.45222,472521.038,-10.6969995,8.0851002,1.51287532,153.1414919,75.20743066,894.0319965,22719.24376,1598.610262
23,12,135,SLE,358521.7854,-11.3449001,9.45222,690510.5587,-11.2013998,7.9244599,1.534484689,229.8498261,223.420917,1177.370954,35034.02814,1858.967401
23,13,340,SLE,358521.7854,-11.3449001,9.45222,538271.4597,-10.9485998,8.6857595,0.862853189,301.7962054,146.0951679,2328.786779,84035.86602,4608.906446
